config	logLike	logLike_avg	delta_logLike	delta_logLike_avg	size
srp_4_192	-114290.53190639806	-0.15515871744709242	47.8637996869802	6.497901136428827e-05	2074752
srp_2_768	-114345.58751330398	-0.15523345992324775	7.1918072189437225	9.763464791046101e-06	14177280
srp_4_384	-114344.58163091814	-0.15523209435587934	6.185924833102035	8.39789742263419e-06	7688448
srp_8_192	-114315.11947429343	-0.15519209707562467	23.276231791605824	3.1599382832031626e-05	3854208
srp_24_192	-114336.7467592783	-0.15522145787869507	1.6489468067302369	2.238579761622577e-06	10972032
srp_1_1536	-114345.67018434168	-0.15523357215592323	7.274478256644215	9.875697466541337e-06	30693888
srp_16_192	-114317.31294200526	-0.15519507488692058	21.082764079779736	2.8621571536103166e-05	7413120
srp_2_1536	-114345.31055313838	-0.15523308392723686	6.914847053340054	9.387468780158748e-06	59025408
srp_2_192	-114259.90088851447	-0.15511713334235827	78.49481757056492	0.0001065631160984259	1185024
srp_1_384	-114344.81293283938	-0.1552324083671001	6.417226754347212	8.711908643378548e-06	2365056
srp_4_768	-114345.48045605888	-0.155233314584307	7.084749973844737	9.618125850314058e-06	28353024
srp_24_1536	-114345.67524255363	-0.15523357902285845	7.279536468588049	9.88256440175189e-06	682318848
srp_16_1536	-114344.5466622704	-0.15523204688308834	6.1509561853599735	8.350424631633786e-06	455666688
srp_1_192	-114300.56985188043	-0.1551723447766784	37.82585420460964	5.135168177828201e-05	740160
srp_2_384	-114345.42006079687	-0.1552332325928136	7.024354711829801	9.536134356899773e-06	4139520
srp_1_768	-114343.79379104302	-0.15523102479900058	5.398084957982064	7.328340543877123e-06	7089408
srp_4_1536	-114344.9898199752	-0.1552326485058121	6.5941138901689555	8.952047355388996e-06	115688448
srp_8_1536	-114344.89768660541	-0.15523252342724914	6.501980520377401	8.826968792427684e-06	229014528
